CIP13,n
3400921661477,2
3400921661538,2
3400921845761,2
3400921846652,2
3400921846881,2
3400926629007,2
3400926908362,2
3400926943202,2
3400926943370,2
3400926943431,2
3400927517914,2
3400927518164,2
3400927564987,2
3400927889370,2
3400927949326,2
3400927966064,2
3400928099723,2
3400928099761,2
3400930002353,2
3400930002384,2
3400930010662,2
3400930010716,2
3400930018118,2
3400930018125,2
3400930018149,2
3400930018163,2
3400930018187,2
3400930018200,2
3400930018224,2
3400930018248,2
3400930018972,2
3400930030202,2
3400930035269,2
3400930056882,2
3400930056899,2
3400930057377,2
3400930057391,2
3400930057414,2
3400930058794,2
3400930058824,2
3400930058886,2
3400930060025,2
3400930060049,2
3400930060063,2
3400930060308,2
3400930060346,2
3400930060391,2
3400930079041,2
3400930079799,2
3400930082539,2
3400930082621,2
3400930082690,2
3400930084939,2
3400930084953,2
3400930084977,2
3400930098127,2
3400930098219,2
3400930115343,2
3400930115350,2
3400930115367,2
3400930115374,2
3400930115572,2
3400930115602,2
3400930118887,2
3400930122372,2
3400930138540,2
3400930140970,2
3400930141724,2
3400930141731,2
3400930141755,2
3400930141762,2
3400930141779,2
3400930141809,2
3400930142288,2
3400930144213,2
3400930160244,2
3400930161494,2
3400930161517,2
3400930161531,2
3400930166321,2
3400930167236,2
3400930167243,2
3400930168455,2
3400930168547,2
3400930168998,2
3400930169964,2
3400930173398,2
3400930173442,2
3400930176771,2
3400930187364,2
3400930187661,2
3400930187845,2
3400930187869,2
3400930187876,2
3400930195352,2
3400930195697,2
3400930199305,2
3400930199374,2
3400930199381,2
3400930199404,2
3400930201343,2
3400930203736,2
3400930208908,2
3400930212608,2
3400930219560,2
3400930226766,2
3400930226872,2
3400930226919,2
3400930226940,2
3400930227022,2
3400930227053,2
3400930242940,2
3400930515648,2
3400931153184,2
3400931844082,2
3400931952572,2
3400931994046,2
3400932387656,2
3400932421756,2
3400932610204,2
3400933143312,2
3400933661090,2
3400933785321,2
3400933785499,2
3400933825973,2
3400933830595,2
3400934176579,2
3400934250071,2
3400934544927,2
3400934600678,2
3400934802591,2
3400934802652,2
3400935082886,2
3400935082947,2
3400935102911,2
3400935200426,2
3400935201836,2
3400935202376,2
3400935203908,2
3400935312877,2
3400935451316,2
3400935567550,2
3400935584069,2
3400935613028,2
3400935613196,2
3400935613318,2
3400935613486,2
3400935613547,2
3400935631466,2
3400935631527,2
3400935631756,2
3400935631817,2
3400935631985,2
3400935644183,2
3400935905451,2
3400936077546,2
3400936114838,2
3400936167766,2
3400936260948,2
3400936261020,2
3400936285552,2
3400936648586,2
3400936773295,2
3400936773356,2
3400936786592,2
3400936855182,2
3400937019095,2
3400937019675,2
3400937056236,2
3400937198493,2
3400937359207,2
3400937391832,2
3400937456289,2
3400937667838,2
3400937812160,2
3400937813570,2
3400937946384,2
3400937955959,2
3400937982863,2
3400938093346,2
3400938095418,2
3400938222920,2
3400938225532,2
3400938285215,2
3400938448795,2
3400938471977,2
3400938472868,2
3400938473230,2
3400938473759,2
3400938474121,2
3400938524598,2
3400939060439,2
3400939109329,2
3400939323947,2
3400939324197,2
3400939324487,2
3400939454221,2
3400939454399,2
3400939454689,2
3400939454979,2
3400939455051,2
3400939501048,2
3400939792200,2
3400939889115,2
3400941822391,2
3400941822452,2
3400949002535,2
3400949004393,2
3400949004409,2
3400949500505,2
3400949500574,2
3400949500581,2
3400949500765,2
3400949500833,2
3400949500857,2
3400949500918,2
3400949500994,2
3400949501007,2
3400949501045,2
