cip13,lib_cip13,boites_delivrees,remboursement_total,base_remboursement_totale,nb_observations
3400935955838,DOLIPRANE 1G CPR 8,156815197,133550107.1,183025296.16,1846
3400941533969,DOLIPRANE 1G GELULE 8,62979180,54574573.78,73246126.37,1609
3400936158832,DAFALGAN 1G CPR 8,30751608,26599246.18,35988801.05,1428
3400935294227,DOLIPRANE 1G CPR EFF 8,26544923,22822474.87,31017112.03,1480
3400934744198,KARDEGIC 75MG PDR ORALE SACHET 30,19312309,28826870.26,31557923.830000002,1188
3400935291783,EFFERALGANMED 1G CPR EFF 8,17017079,14762831.78,19910660.82,1293
3400932679041,DAFALGAN 500MG GELULE 16,16672151,14861929.55,19440597.7,1345
3400949605538,IZALGI 500 MG/25 MG GELULE 16,16055770,18730596.22,25540442.54,1395
3400932320189,DOLIPRANE 500MG CPR 16,15091430,12948438.78,17605408.17,1573
3400935154958,LAMALINE GELULE 16,13932890,14666992.38,19762295.29,1301
3400934438738,VENTOLINE 100 MICROGRAMMES SUSP INH 1,12371000,32148623.05,44832020.39,1621
3400934507786,DOLIPRANE 500MG GELULE 16,12154804,10750666.1,14128605.05,1380
3400930186947,DAFALGAN 1000MG GELULE 8,11596391,10075520.45,13516719.49,1183
3400934615467,"DOLIPRANE 2,4% SS SUCRE SUSP BUV 1",11580637,10429728.870000001,16160341.35,851
3400926649975,FORXIGA 10MG CPR 30,10696724,388473508.56,400223795.33,991
3400935887559,SERESTA 10MG CPR 30,10591523,10815472.01,13301722.94,1051
3400926784102,ELIQUIS 5MG CPR 60,10564140,584894162.38,625458118.51,1033
3400930274927,CHOLECALCIFEROL VTS 50000 UI BUV AMP 1,9104884,7421842.54,10133100.16,1341
3400932905997,DIFFU-K 600MG GELULE 40,9053171,16387120.99,17998405.71,1048
3400930986080,SPASFON CPR 30,8931258,6215933.55,19287679.29,1294
