cip13,lib_cip13,remboursement_total,boites_delivrees
3400926783501,EYLEA 4 MG SOL INJ SER 1,468755236.26,NA
3400927671197,"LUCENTIS 1,65 MG SOL INJ SER 1",444342645.01,NA
3400930202074,VYNDAQEL 61 MG CAPSULE MOLLE 30,400823353.43,NA
3400926784102,ELIQUIS 5MG CPR 60,395849134.14,NA
3400930211380,KAFTRIO 100/50/75MG CPR 56,359418028.4,NA
3400930117644,XTANDI 40MG CPR 112,332184672.05,NA
3400930076279,ZYTIGA 500 MG CPR 60,245973319.55,NA
3400921923056,XARELTO 20 MG CPR 28,234057214.62,NA
3400941945670,ELIQUIS 2.5MG CPR 60,229978524.85999998,NA
3400930159484,KALYDECO 150 MG CPR 28,222825668.01,NA
3400930047651,TAGRISSO 80 MG CPR 30,218133197.2,NA
3400937484954,STELARA 90 MG SOL INJ SER 1,211493726.72,NA
3400930156162,IMBRUVICA 420 MG CPR 30,196059981.69,NA
3400930042687,HUMIRA 40 MG SOL INJ STYLO + TAMP 2,176180065.87,NA
3400930003763,"TRULICITY 1,5 MG SOL INJ STYLO 4",164253733.93,NA
3400939212494,XOLAIR 150 MG SOL INJ SER 1,163323611.24,NA
3400930167267,ERLEADA 60MG CPR 120,157279872.67,NA
3400935955838,DOLIPRANE 1G CPR 8,149506542.59,175776493
3400930075302,IBRANCE 125 MG GELULE 21,139790129.78,NA
3400930153031,BIKTARVY 50/200/25MG CPR 30,136326717.54,NA
3400941533969,NA,NA,42136416
3400936158832,NA,NA,41958743
3400932679041,NA,NA,26437026
3400935294227,NA,NA,26362936
3400934744198,NA,NA,23356333
3400935291783,NA,NA,21653448
3400932320189,NA,NA,18727426
3400934615467,NA,NA,15868307
3400935154958,NA,NA,13789387
3400934507786,NA,NA,12129003
3400934438738,NA,NA,11089008
3400949605538,NA,NA,11007993
3400930087299,NA,NA,10890931
3400935887559,NA,NA,10887891
3400930186947,NA,NA,10009794
3400922385624,NA,NA,9431549
3400932905997,NA,NA,9361960
3400930986080,NA,NA,8477015
3400927610974,NA,NA,8443821
