region,nb_medicaments,remboursement_total,base_remboursement_totale,boites_delivrees,part_remboursement,part_boites
Ile-de-France,10762,4418528859.46,5101347372.04,372846404,16.10107743239182,16.023964390697053
Auvergne-Rhône-Alpes,10256,3003826045.02,3430535971.81,257162821,10.945913737952385,11.05218621423314
Aquitaine-Limousin-Poitou-Charentes,10232,2516882929.25,2888968455.6,222673043,9.171497623096208,9.56990565959744
Languedoc-Roussillon-Midi-Pyrénées,10098,2493446246.9,2858761273.5,216588920,9.086094573964186,9.308425947698112
Nord-Pas-de-Calais-Picardie,10180,2418442922.65,2818580822.59,232070859,8.812783168777703,9.973799239684974
Provence-Alpes-Côte d'Azur et Corse,10108,2367356495.2400002,2701131741.95,218266153,8.626624709789342,9.38050904030292
Alsace-Champagne-Ardenne-Lorraine,10072,2230039442.28,2578981259.58,200508036,8.126242665715285,8.617311564342197
Pays de la Loire,9281,1379541831.23,1584176272.44,116822333,5.027037403705548,5.020718676503994
Normandie,9300,1317788632.4,1525429636.57,124428419,4.802009330406682,5.347608382047672
Bretagne,9206,1297683446.68,1492842519.68,114409226,4.728746223529544,4.9170096418342055
Inconnu,11765,1129433393.29,1157843884.29,4463538,4.115644618040082,0.191831202342837
Bourgogne-Franche-Comté,9337,1097963553.23,1261871732.52,99057035,4.000968818083223,4.257212579923479
Centre-Val de Loire,9228,976852109.54,1123926775.06,88110068,3.5596398611326574,3.7867405369796616
Régions et Départements d'outre-mer,7237,794656240.03,914623297.63,59398141,2.8957198334153365,2.5527769238123126
