cip13,lib_cip13,remboursement_total,boites_delivrees,cout_moyen_boite
3400930260494,AMVUTTRA 25 MG SOL INJ SRG 1,60398865.07,934,64666.87908993576
3400930150948,"MYALEPTA 11,3MG PDR SOL INJ 30",5897661.99,110,53615.109000000004
3400930031162,STRENSIQ 80MG SOL INJ 12,11555373.99,229,50460.1484279476
3400930217443,"OXLUMO 94,5 MG/0,5ML SOL INJ 1",9684949.84,222,43625.90018018018
3400930216316,GIVLAARI 189MG/ML INJ FL1ML 1,1962607.46,54,36344.58259259259
3400930162781,"MYALEPTA 5,8MG PDR SOL INJ 30",2140788.9499999997,84,25485.582738095236
3400930243671,ASPAVELI 1 080 MG SOL INJ 8,11984767.34,493,24309.87290060852
3400930264959,"LIVMARLI 9,5 MG/ML SOL BUV 1",8840396.48,380,23264.201263157895
3400930237083,BYLVAY 1200 MICROG GELULES 30,8538753.8,383,22294.39634464752
3400930258064,SUNLENCA 464MG SOL INJ 2,846361.5700000001,41,20642.96512195122
3400927626074,LOJUXTA 10MG GELULE 28,1749794.09,87,20112.575747126437
3400930243640,QINLOCK 50 MG CPR 90,2024419.32,111,18238.011891891892
3400930214770,AYVAKYT 300MG CPR 1,721238.7,42,17172.35
3400930214756,AYVAKYT 100 MG CPR 30,2892739.85,171,16916.607309941523
3400930248935,AYVAKYT 25 MG CPR 30,6089802.399999999,364,16730.22637362637
3400930248942,AYVAKYT 50 MG CPR 30,1946337.3,118,16494.383898305085
3400930214763,AYVAKYT 200 MG CPR 30,389308.75,25,15572.35
3400927722097,REVESTIVE 5MG PDR ET SOL INJ 28,31151816.099999998,2019,15429.329420505199
3400930060827,GALAFOLD 123 MG GELULE 14,34958034.910000004,2266,15427.199872021185
3400930190784,XOSPATA 40MG CPR 84,28099515.47,1842,15254.894391965254
