cip13,lib_cip13,remboursement_total,rang,remboursement_cumule,part_cumulee
3400926783501,EYLEA 4 MG SOL INJ SER 1,468755236.26,1,468755236.26,2.0666087266051467
3400927671197,"LUCENTIS 1,65 MG SOL INJ SER 1",444342645.01,2,913097881.27,4.025589270709711
3400930202074,VYNDAQEL 61 MG CAPSULE MOLLE 30,400823353.43,3,1313921234.7,5.792705616192254
3400926784102,ELIQUIS 5MG CPR 60,395849134.14,4,1709770368.84,7.5378920413292025
3400930211380,KAFTRIO 100/50/75MG CPR 56,359418028.4,5,2069188397.24,9.12246406641623
3400930117644,XTANDI 40MG CPR 112,332184672.05,6,2401373069.29,10.586971956675246
3400930076279,ZYTIGA 500 MG CPR 60,245973319.55,7,2647346388.84,11.671398474765628
3400921923056,XARELTO 20 MG CPR 28,234057214.62,8,2881403603.46,12.703290269975984
3400941945670,ELIQUIS 2.5MG CPR 60,229978524.85999998,9,3111382128.32,13.717200280239503
3400930159484,KALYDECO 150 MG CPR 28,222825668.01,10,3334207796.33,14.69957537581213
3400930047651,TAGRISSO 80 MG CPR 30,218133197.2,11,3552340993.5299997,15.661262700080783
3400937484954,STELARA 90 MG SOL INJ SER 1,211493726.72,12,3763834720.25,16.593678484380135
3400930156162,IMBRUVICA 420 MG CPR 30,196059981.69,13,3959894701.94,17.458051269485118
3400930042687,HUMIRA 40 MG SOL INJ STYLO + TAMP 2,176180065.87,14,4136074767.81,18.234779150939357
3400930003763,"TRULICITY 1,5 MG SOL INJ STYLO 4",164253733.93,15,4300328501.74,18.95892722153059
3400939212494,XOLAIR 150 MG SOL INJ SER 1,163323611.24,16,4463652112.98,19.678974645303875
3400930167267,ERLEADA 60MG CPR 120,157279872.67,17,4620931985.65,20.372376941932053
3400935955838,DOLIPRANE 1G CPR 8,149506542.59,18,4770438528.24,21.031508833590934
3400930075302,IBRANCE 125 MG GELULE 21,139790129.78,19,4910228658.0199995,21.647803820291365
3400930153031,BIKTARVY 50/200/25MG CPR 30,136326717.54,20,5046555375.559999,22.248829605913375
3400930056202,GARDASIL 9 SUSP INJ SER + 2 AIG 1,109461191.06,21,5156016566.62,22.731412914153413
3400927499890,AUBAGIO 14MG CPR 28,99093512.21,22,5255110078.83,23.168288070401378
