cip13,lib_cip13,remboursement_total,boites_delivrees,cout_moyen_boite
3400930260494,AMVUTTRA 25 MG SOL INJ SRG 1,110607971.77,1720,64306.96033139535
3400930031162,STRENSIQ 80MG SOL INJ 12,10231302.85,222,46086.949774774774
3400930217443,"OXLUMO 94,5 MG/0,5ML SOL INJ 1",14490543.57,336,43126.61776785714
3400930243671,ASPAVELI 1 080 MG SOL INJ 8,12461075.42,513,24290.59536062378
3400930264959,"LIVMARLI 9,5 MG/ML SOL BUV 1",17735388.93,760,23336.038065789475
3400930237083,BYLVAY 1200 MICROG GELULES 30,18694211.78,821,22770.050889159564
3400930243640,QINLOCK 50 MG CPR 90,17770874.99,968,18358.34193181818
3400930214756,AYVAKYT 100 MG CPR 30,6186485.23,374,16541.40435828877
3400930272282,NA,7190030.760000001,447,16085.080000000002
3400930248935,AYVAKYT 25 MG CPR 30,20668844.529999997,1459,14166.445873886221
3400930281222,NA,20765101.64,1479,14039.960540906019
3400930227381,ORLADEYO 150MG GELULE 28,11302944.1,1018,11103.088506876227
3400930271599,NA,8241361.33,765,10773.021346405229
3400926606114,KALYDECO 150 MG CPR 56,9121492.34,915,9968.844087431693
3400930280355,NA,8858460.25,975,9085.600256410256
3400930280348,NA,10348934.55,1150,8999.07352173913
3400930236703,"VOXZOGO 1,2 MG, POUDRE ET SOLVANT PO 1",8804740.2,1239,7106.327845036319
3400930111833,MAVENCLAD 10 MG CPR 6,12661305.65,1865,6788.903833780161
3400930198360,"ISTURISA 10 MG, COMPRIME PELLICULE 60",10604858.370000001,1851,5729.258978930308
3400930198353,"ISTURISA 5 MG, COMPRIME PELLICULE 60",9391039.07,1705,5507.940803519062
3400930023877,SOMAVERT 30MG PDR ET SOL INJ 30,6470284.29,1315,4920.368281368821
3400930230176,KOSELUGO 10 MG GELULE 60,8758429.83,1928,4542.75406120332
3400930111819,MAVENCLAD 10 MG CPR 4,6255582.83,1384,4519.929790462428
3400930047613,ICLUSIG 30 MG CPR 30,6368061.13,1524,4178.51780183727
3400926762568,XALKORI 200 MG GELULE 60,6511417.6,1793,3631.5770217512545
