cip13,lib_cip13,remboursement_total,boites_delivrees,cout_moyen_boite
3400938462005,"HEXAMIDINE MYL 0,1% SOL FL 45ML 1",2.19,12,0.1825
3400931461418,CHELIDONIUM COMPOSE GRLS 4G 80,6.2700000000000005,21,0.2985714285714286
3400931459057,ARUM TRIPHYL COMP BOIR GRLS 80 80,6.29,32,0.1965625
3400937456289,ALGINATE BICAR SODIUM EG BUV 1,7.34,24,0.30583333333333335
3400930059548,DOMPERIDONE EG 10MG CPR 20,8.05,26,0.3096153846153846
3400936712843,ZOLPIDEM SUN 10MG CPR 14,8.450000000000001,23,0.36739130434782613
3400931463658,HAMAMELIS COMPOSE BOIRON 1,9.5,27,0.35185185185185186
3400931462477,DROSERA COMP BOIR GRLS 80,10,52,0.19230769230769232
3400931096542,TUSSIPAX SOL BUV 1,10.7,13,0.823076923076923
3400931458746,POMMADE ARNICA TM 4% BOIRON POM 1,11.129999999999999,51,0.21823529411764703
3400930373576,ESIDREX 25 MG CPR 20,11.729999999999999,12,0.9774999999999999
3400922474144,ANTIGONE 75MCG CPR 28,11.950000000000001,13,0.9192307692307693
3400934008009,ECONAZOLE L X.O 1% CREME TUBE 30G 1,12,16,0.75
3400938609219,LORATADINE RBX 10MG CPR 15,12.32,17,0.7247058823529412
3400939181066,PACILIA CPR 21,12.68,12,1.0566666666666666
3400931468103,CASTOR EQUI BOIRON POMMADE 20 G 1,12.709999999999999,14,0.9078571428571428
3400936454477,ZOLPIDEM ACT 10MG CPR 14,12.76,23,0.5547826086956522
3400932678679,ECLARAN 5% GEL 1,12.78,14,0.9128571428571428
3400921756203,DESLORATADINE GNR 5MG CPR 15,13.8,22,0.6272727272727273
3400934887000,"ZOPICLONE VIATRIS 7,5MG CPR 5",14.209999999999999,22,0.6459090909090909
3400927568190,OMEPRAZOLE ZTL 20MG GELULE 14,15.139999999999999,12,1.2616666666666665
3400939540948,OMEPRAZOLE SDZ 10MG GELULE 14,15.5,11,1.4090909090909092
3400932807093,TRINORDIOL CPR SUREMBALLE 21,15.78,15,1.052
3400927714283,LEVONOR/ETHINYL SDZ 100/20MICROG CPR 21,16.54,16,1.03375
3400930191071,PARACETAMOL ARL 300MG PDR ORALE SACH 12,16.79,24,0.6995833333333333
3400935428134,AMOXICILLINE EG 125MG/5ML PDR FL 1,17.34,23,0.7539130434782608
3400930076163,MUPIROCINE PFA 2 % POMMADE 1,17.6,15,1.1733333333333333
3400931112662,VALIUM ROCHE 2MG CPR 40,17.67,24,0.7362500000000001
3400930138113,DIAZEPAM ACC 10 MG CPR 30,17.88,19,0.9410526315789474
3400932345373,AMODEX 250MG/5ML PDR ORALE FL 1,18.4,21,0.8761904761904761
3400938478372,IBUPROFENE TVS 400MG CPR PELL 20,18.459999999999997,19,0.9715789473684209
3400933968892,PIROXICAM PFZ 20MG CPR 15,18.56,20,0.9279999999999999
3400935324016,"LACTULOSE EG 66 P.100 1 FLACON DE 200 ML , SOLUTIO",18.7,31,0.6032258064516128
3400935905451,MEBEVERINE EG 200MG GELULE 30,19.08,31,0.6154838709677419
3400930617694,CALENDULA LHF PDE 20G 1,19.09,95,0.20094736842105262
3400933194758,"GEL LARMES 0,3% GEL OPH TUBE 5G 1",19.23,12,1.6025
3400932462629,"PHOSPHALUGEL 12,38G/15ML SUSP BUV FL 1",19.9,31,0.6419354838709677
3400936736108,AMOXICILLINE ZEN 250MG/5ML PDR FL 1,19.99,20,0.9994999999999999
3400933971335,CIMETIDINE MYL 400MG CPR 30,20.14,12,1.6783333333333335
3400932349746,FAZOL G 300 MG OVULE 3,20.310000000000002,15,1.354
3400937053914,AMOXICILLINE ALM 500MG/5ML PDR FL 1,20.66,20,1.033
