tranche_age,sexe,nb_observations,remboursement_total,remboursement_moyen,base_remboursement_moyenne,boites_totales,boites_moyennes
20 - 59 ANS,Inconnu,272,18343000.86,67437.5031617647,68228.73363970588,27434,100.86029411764706
60 ANS ET +,MASCULIN,419006,8271052203.23,19739.69872324024,21474.991318573004,571130934,1363.0614692868357
60 ANS ET +,Inconnu,243,4234693.42,17426.721893004116,17643.28386831276,11553,47.54320987654321
60 ANS ET +,FEMININ,443369,6889028904.74,15537.912900405758,17507.65617248838,756639991,1706.5694511794914
20 - 59 ANS,MASCULIN,352648,4294063440.79,12176.627801065084,14017.163044877612,351451685,996.6076228987547
20 - 59 ANS,FEMININ,420847,4643652302.87,11034.06297982402,13046.10618661889,505018979,1200.0061281178191
Inconnu,Inconnu,2367,24563779.62,10377.600177439797,10899.377570764682,317965,134.33248838191804
0-19 ANS,Inconnu,548,5407455.01,9867.618631386862,10491.99541970803,22346,40.777372262773724
0-19 ANS,MASCULIN,127778,1014957251.69,7943.129894739313,10315.1753948254,89623900,701.4032149509306
0-19 ANS,FEMININ,142858,860877743.17,6026.108045541727,8029.353372439766,93068735,651.4772361365832
Inconnu,MASCULIN,3272,3242630.1,991.023869193154,1063.8290831295844,310548,94.91075794621027
Inconnu,FEMININ,3622,2434702.12,672.1982661512976,730.1023743787962,339817,93.82026504693539
