prescripteur,nb_observations,nb_medicaments,remboursement_total,remboursement_moyen,base_remboursement_moyenne,boites_totales,boites_moyennes
PRESCRIPTEURS SALARIES,404482,10983,13537872047.9,33469.65266167592,35802.94178497436,470262576,1162.6291800376775
OPHTALMOLOGIE LIBERALE,39727,2684,766200043.51,19286.63235356307,21308.414620283434,39316187,989.6590983462127
MEDECINE GENERALE LIBERALE,460157,10775,8554016273,18589.342926435977,23339.409017791753,1536073237,3338.150320434112
MEDECINE INTERNE LIBERALE,25980,2834,395039689.84,15205.530786759045,15356.658628560432,4659402,179.345727482679
RHUMATOLOGIE LIBERALE,31501,2190,459976105.26,14601.952485952826,15308.950239992382,13741578,436.2267229611758
RADIOLOGIE LIBERALE,26311,2429,259432586.84,9860.232862300938,10095.973386416328,5328032,202.5020713769906
PNEUMOLOGIE LIBERALE,31297,1777,296270304.61,9466.412263475733,11436.90418602422,10118623,323.30967824392116
GASTRO-ENTEROLOGIE ET HEPATOLOGIE LIBERALE,32020,2254,262376991.06,8194.159620861961,8853.308177389132,8378337,261.6594940662086
DERMATOLOGIE ET VENEROLOGIE LIBERALE,36489,2280,297289585.37,8147.375520567843,11883.555635122913,11543829,316.36463043656994
PATHOLOGIE CARDIO-VASCULAIRE LIBERALE,73036,4936,542015853.55,7421.214928939154,7832.22039501068,18538072,253.82101977107178
NEUROLOGIE LIBERALE,24624,1937,176372861.7,7162.640582358675,7479.438838531514,5868968,238.3434048083171
PEDIATRIE LIBERALE,32121,2191,195343717.53,6081.495517885495,9545.328916285296,19588462,609.8335045608792
ENDOCRINOLOGIE ET METABOLISMES LIBERAL,35914,3126,173999154.88,4844.883746728296,5067.989251266916,9832938,273.7912234783093
GYNECOLOGIE OBSTETRIQUE LIBERALE,37449,3409,147725437.64,3944.7098090736736,4908.587560682528,18208231,486.21407781249167
CHIRURGIE LIBERALE,63956,3603,211203813.77,3302.329941991369,4028.3106734317344,24335410,380.5023766339358
"PRESCRIPTEURS DE VILLE AUTRES QUE MEDECINS (Dentistes, Auxiliaires médicaux, Laboratoires, Sages-Femmes)",79258,4102,256907391.64000002,3241.4064402331624,4844.946963461101,57474324,725.1548613389184
PSYCHIATRIE LIBERALE,56009,3094,157681858.75,2815.2950195504295,3470.5169558463817,34500841,615.9874484457855
NEPHROLOGIE LIBERALE,13578,1773,31647389.51,2330.784320960377,2398.6886367653556,2994850,220.56635734276034
Inconnu,303142,11857,657829803.75,2170.0384761926753,2473.346439193513,24420255,80.55714813519735
OTO RHINO-LARYNGOLOGIE LIBERALE,32899,2105,50018416.09,1520.362810115809,2486.446439709414,6659616,202.4260919784796
ANESTHESIOLOGIE - REANIMATION LIBERALE,14545,1433,8496863.81,584.1776424888278,834.3874506703335,1783761,122.63740116878652
STOMATOLOGIE LIBERALE,13809,824,3548391.8,256.96225649938447,471.55342457817363,2736169,198.14389166485626
MEDECINE PHYSIQUE ET DE READAPTATION LIBERALE,4284,604,1098241.24,256.35883286647993,375.10900326797383,417924,97.5546218487395
DIRECTEUR LABORATOIRE MEDECIN LIBERAL,375,140,73211.67,195.23112,265.0815733333333,19189,51.17066666666667
ANATOMIE-CYTOLOGIE-PATHOLOGIQUE LIBERALE,92,43,6112.4800000000005,66.44,106.2316304347826,4185,45.48913043478261
